Time,Connectivity,Reachability
90.67,0,0.24
90.83,0,0.24
91.00,0,0.24
91.17,0,0.24
91.33,0,0.24
91.50,0,0.24
91.67,0,0.36
91.83,0,0.36
92.00,0,0.36
92.17,0,0.36
92.33,0,0.36
92.50,0,0.36
92.67,0,0.36
92.83,0,0.36
93.00,0,0.36
93.17,0,0.36
93.33,0,0.36
93.50,0,0.36
93.67,0,0.36
93.83,0,0.36
94.00,0,0.36
94.17,0,0.36
94.33,0,0.36
94.50,0,0.36
94.67,0,0.36
94.83,0,0.36
95.00,0,0.36
95.17,0,0.36
95.33,0,0.36
95.50,0,0.36
95.67,0,0.36
95.83,0,0.36
96.00,0,0.36
96.17,0,0.36
96.33,0,0.36
96.50,0,0.36
96.67,0,0.36
96.83,0,0.36
97.00,0,0.36
97.17,0,0.36
97.33,0,0.36
97.50,0,0.36
97.67,0,0.36
97.83,0,0.36
98.00,0,0.36
98.17,0,0.36
98.33,0,0.36
98.50,0,0.36
98.67,0,0.36
98.83,0,0.36
99.00,0,0.36
99.17,0,0.36
99.33,0,0.40
99.50,0,0.40
99.67,0,0.80
99.83,1,1.00
100.00,1,1.00
100.00,1,1.00
100.17,1,1.00
100.33,1,1.00
100.50,0,0.64
100.67,0,0.64
100.83,0,0.49
101.00,0,0.49
101.17,0,0.49
101.33,0,0.49
101.50,0,0.49
101.67,0,0.49
101.83,0,0.49
102.00,0,0.49
102.17,0,0.49
102.33,0,0.49
102.50,0,0.49
102.67,0,0.49
102.83,0,0.49
103.00,0,0.49
103.17,0,0.49
103.33,0,0.49
103.50,0,0.49
103.67,0,0.49
103.83,0,0.49
104.00,0,0.49
104.17,0,0.49
104.33,0,0.49
104.50,0,0.49
104.67,0,0.49
104.83,0,0.49
105.00,0,0.49
105.17,0,0.49
105.33,0,0.49
105.50,0,0.49
105.67,0,0.49
105.83,0,0.49
106.00,0,0.49
106.17,0,0.49
106.33,0,0.49
106.50,0,0.49
106.67,0,0.49
106.83,0,0.49
107.00,0,0.49
107.17,0,0.49
107.33,0,0.49
107.50,0,0.49
107.67,0,0.49
107.83,0,0.49
108.00,0,0.49
108.17,0,0.49
108.33,0,0.49
108.50,0,0.49
108.67,0,0.49
108.83,0,0.27
109.00,0,0.27
109.17,0,0.27
109.33,0,0.27
109.50,0,0.27
109.67,0,0.27
109.83,0,0.27
110.00,0,0.27
110.17,0,0.27
110.33,0,0.27
110.50,0,0.27
110.67,0,0.27
110.83,0,0.27
111.00,0,0.27
111.17,0,0.27
111.33,0,0.27
111.50,0,0.49
111.67,0,0.49
111.83,0,0.49
112.00,0,0.49
112.17,0,0.49
112.33,0,0.49
112.50,0,0.49
112.67,0,0.49
112.83,0,0.49
113.00,0,0.49
113.17,0,0.49
113.33,0,0.49
113.50,0,0.49
113.67,0,0.49
113.83,0,0.49
114.00,0,0.49
114.17,0,0.22
114.33,0,0.22
114.50,0,0.22
114.67,0,0.22
114.83,0,0.22
115.00,0,0.22
115.17,0,0.22
115.33,0,0.22
115.50,0,0.22
115.67,0,0.22
115.83,0,0.22
116.00,0,0.22
116.17,0,0.22
116.33,0,0.22
116.50,0,0.22
116.67,0,0.22
116.83,0,0.22
117.00,0,0.22
117.17,0,0.22
117.33,0,0.22
117.50,0,0.22
117.67,0,0.22
117.83,0,0.22
118.00,0,0.22
118.17,0,0.22
118.33,0,0.22
118.50,0,0.22
118.67,0,0.22
118.83,0,0.22
119.00,0,0.22
119.17,0,0.22
119.33,0,0.22
119.50,0,0.22
119.67,1,1.00
119.83,1,1.00
120.00,1,1.00
120.00,1,1.00
120.17,1,1.00
120.33,1,1.00
120.50,0,0.47
120.67,0,0.47
120.83,0,0.40
121.00,0,0.40
121.17,0,0.40
121.33,0,0.40
121.50,0,0.40
121.67,0,0.40
121.83,0,0.40
122.00,0,0.40
122.17,0,0.40
122.33,0,0.40
122.50,0,0.40
122.67,0,0.40
122.83,0,0.40
123.00,0,0.40
123.17,0,0.40
123.33,0,0.40
123.50,0,0.40
123.67,0,0.40
123.83,0,0.22
124.00,0,0.22
124.17,0,0.22
124.33,0,0.22
124.50,0,0.22
124.67,0,0.22
