Time,Connectivity,Reachability
150.50,0,0.27
150.67,0,0.27
150.83,0,0.27
151.00,0,0.27
151.17,0,0.27
151.33,0,0.27
151.50,0,0.27
151.67,0,0.27
151.83,0,0.27
152.00,0,0.27
152.17,0,0.27
152.33,0,0.27
152.50,0,0.27
152.67,0,0.27
152.83,0,0.27
153.00,0,0.27
153.17,0,0.27
153.33,0,0.27
153.50,0,0.27
153.67,0,0.27
153.83,0,0.27
154.00,0,0.36
154.17,0,0.36
154.33,0,0.36
154.50,0,0.36
154.67,0,0.36
154.83,0,0.36
155.00,0,0.36
155.17,0,0.36
155.33,0,0.36
155.50,0,0.36
155.67,0,0.36
155.83,0,0.36
156.00,0,0.36
156.17,0,0.36
156.33,0,0.36
156.50,0,0.36
156.67,0,0.36
156.83,0,0.36
157.00,0,0.36
157.17,0,0.80
157.33,0,0.80
157.50,0,0.80
157.67,0,0.80
157.83,0,0.80
158.00,0,0.80
158.17,0,0.80
158.33,0,0.80
158.50,0,0.80
158.67,0,0.80
158.83,0,0.80
159.00,0,0.80
159.17,0,0.80
159.33,0,0.80
159.50,0,0.80
159.67,1,1.00
159.83,1,1.00
160.00,1,1.00
160.00,1,1.00
160.17,1,1.00
160.33,1,1.00
160.50,1,1.00
160.67,1,1.00
160.83,0,0.40
161.00,0,0.40
161.17,0,0.40
161.33,0,0.40
161.50,0,0.40
161.67,0,0.40
161.83,0,0.40
162.00,0,0.40
162.17,0,0.40
162.33,0,0.40
162.50,0,0.40
162.67,0,0.40
162.83,0,0.40
163.00,0,0.40
163.17,0,0.40
163.33,0,0.40
163.50,0,0.40
163.67,0,0.40
163.83,0,0.40
164.00,0,0.40
164.17,0,0.40
164.33,0,0.40
164.50,0,0.40
164.67,0,0.40
164.83,0,0.40
165.00,0,0.40
165.17,0,0.40
165.33,0,0.29
165.50,0,0.29
165.67,0,0.29
165.83,0,0.29
166.00,0,0.29
166.17,0,0.29
166.33,0,0.29
166.50,0,0.29
166.67,0,0.29
166.83,0,0.29
167.00,0,0.29
167.17,0,0.29
167.33,0,0.29
167.50,0,0.29
167.67,0,0.29
167.83,0,0.29
168.00,0,0.29
168.17,0,0.29
168.33,0,0.29
168.50,0,0.29
168.67,0,0.24
168.83,0,0.24
169.00,0,0.16
169.17,0,0.16
169.33,0,0.16
169.50,0,0.16
169.67,0,0.16
169.83,0,0.16
170.00,0,0.16
170.17,0,0.16
170.33,0,0.16
170.50,0,0.16
170.67,0,0.16
170.83,0,0.16
171.00,0,0.16
171.17,0,0.16
171.33,0,0.16
171.50,0,0.33
171.67,0,0.33
171.83,0,0.33
172.00,0,0.33
172.17,0,0.33
172.33,0,0.47
172.50,0,0.47
172.67,0,0.47
172.83,0,0.47
173.00,0,0.47
173.17,0,0.47
173.33,0,0.47
173.50,0,0.47
173.67,0,0.47
173.83,0,0.47
174.00,0,0.62
174.17,0,0.62
174.33,0,0.62
174.50,0,0.62
174.67,0,0.62
174.83,0,0.62
175.00,0,0.62
175.17,0,0.62
175.33,0,0.62
175.50,0,0.62
175.67,0,0.62
175.83,0,0.62
176.00,0,0.62
176.17,0,0.62
176.33,1,1.00
176.50,1,1.00
176.67,1,1.00
176.83,1,1.00
177.00,1,1.00
177.17,1,1.00
177.33,1,1.00
177.50,1,1.00
177.67,1,1.00
177.83,1,1.00
178.00,1,1.00
178.17,1,1.00
178.33,1,1.00
178.50,1,1.00
178.67,1,1.00
178.83,1,1.00
179.00,1,1.00
179.17,1,1.00
179.33,1,1.00
179.50,1,1.00
179.67,1,1.00
179.83,1,1.00
180.00,1,1.00
180.00,1,1.00
180.17,1,1.00
180.33,1,1.00
180.50,0,0.47
180.67,0,0.40
180.83,0,0.40
181.00,0,0.40
181.17,0,0.40
181.33,0,0.40
181.50,0,0.40
181.67,0,0.40
181.83,0,0.40
182.00,0,0.40
182.17,0,0.40
182.33,0,0.40
182.50,0,0.40
182.67,0,0.40
182.83,0,0.40
183.00,0,0.40
183.17,0,0.40
183.33,0,0.40
183.50,0,0.40
183.67,0,0.40
183.83,0,0.29
184.00,0,0.29
184.17,0,0.29
184.33,0,0.29
184.50,0,0.29
184.67,0,0.29
184.83,0,0.29
185.00,0,0.29
185.17,0,0.29
185.33,0,0.29
185.50,0,0.29
185.67,0,0.29
185.83,0,0.29
186.00,0,0.29
186.17,0,0.29
186.33,0,0.29
186.50,0,0.29
186.67,0,0.29
186.83,0,0.29
187.00,0,0.29
187.17,0,0.29
187.33,0,0.29
187.50,0,0.29
187.67,0,0.29
187.83,0,0.29
188.00,0,0.29
188.17,0,0.29
188.33,0,0.29
188.50,0,0.29
188.67,0,0.29
188.83,0,0.16
189.00,0,0.16
189.17,0,0.16
189.33,0,0.16
189.50,0,0.16
189.67,0,0.16
189.83,0,0.16
190.00,0,0.16
190.17,0,0.16
190.33,0,0.16
190.50,0,0.16
190.67,0,0.16
190.83,0,0.16
191.00,0,0.16
191.17,0,0.16
191.33,0,0.16
191.50,0,0.20
191.67,0,0.20
191.83,0,0.20
192.00,0,0.20
192.17,0,0.20
192.33,0,0.20
192.50,0,0.20
192.67,0,0.20
192.83,0,0.20
193.00,0,0.20
193.17,0,0.20
193.33,0,0.20
193.50,0,0.20
193.67,0,0.20
193.83,0,0.20
194.00,0,0.20
194.17,0,0.20
194.33,0,0.20
194.50,0,0.20
194.67,0,0.20
194.83,0,0.20
195.00,0,0.20
195.17,0,0.27
195.33,0,0.27
195.50,0,0.27
195.67,0,0.27
195.83,0,0.27
196.00,0,0.27
196.17,0,0.27
196.33,0,0.53
196.50,0,0.53
196.67,0,0.53
196.83,0,0.53
197.00,0,0.53
197.17,0,0.53
197.33,0,0.53
197.50,0,0.53
197.67,0,0.53
197.83,0,0.53
198.00,0,0.53
198.17,0,0.53
198.33,0,0.53
198.50,0,0.53
198.67,0,0.53
198.83,0,0.53
199.00,0,0.53
199.17,0,0.53
199.33,0,0.53
199.50,0,0.53
199.67,0,0.53
199.83,1,1.00
200.00,1,1.00
200.00,1,1.00
200.17,1,1.00
200.33,1,1.00
200.50,1,1.00
200.67,1,1.00
200.83,0,0.64
201.00,0,0.64
201.17,0,0.64
201.33,0,0.64
201.50,0,0.64
201.67,0,0.64
201.83,0,0.64
202.00,0,0.31
202.17,0,0.31
202.33,0,0.31
202.50,0,0.31
202.67,0,0.31
202.83,0,0.31
203.00,0,0.31
203.17,0,0.31
203.33,0,0.31
203.50,0,0.31
203.67,0,0.31
203.83,0,0.27
204.00,0,0.27
204.17,0,0.27
204.33,0,0.27
